,dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
199,2021-09-13,1269.0,660,kcal,222,60,16,8
200,2021-09-14,1142.61,660,kcal,171,60,16,8
201,2021-09-15,1015.07,660,kcal,156,60,18,8
202,2021-09-16,1135.37,660,kcal,199,60,16,8
203,2021-09-17,1150.34,660,kcal,183,60,18,8
204,2021-09-18,1848.16,660,kcal,221,60,15,8
205,2021-09-19,1647.5,660,kcal,282,60,17,8
206,2021-09-20,1096.56,660,kcal,192,60,14,8
207,2021-09-21,1064.49,660,kcal,155,60,15,8
208,2021-09-22,1038.33,660,kcal,170,60,15,8
209,2021-09-23,1133.78,660,kcal,178,60,16,8
210,2021-09-24,1168.68,660,kcal,193,60,13,8
211,2021-09-25,1977.07,660,kcal,319,60,16,8
212,2021-09-26,1639.14,660,kcal,308,60,17,8
213,2021-09-27,1147.74,660,kcal,196,60,16,8
214,2021-09-28,1111.17,660,kcal,184,60,16,8
215,2021-09-29,1073.69,660,kcal,187,60,16,8
216,2021-09-30,992.077,660,kcal,179,60,15,8
217,2021-10-01,1143.45,660,kcal,175,60,16,8
218,2021-10-02,1650.02,660,kcal,242,60,15,8
219,2021-10-03,1098.69,660,kcal,216,60,14,8
220,2021-10-04,1127.14,660,kcal,189,60,15,8
221,2021-10-05,1099.31,660,kcal,170,60,16,8
222,2021-10-06,1046.1,660,kcal,173,60,10,8
223,2021-10-07,919.385,660,kcal,176,60,14,8
224,2021-10-08,1439.36,660,kcal,212,60,13,8
225,2021-10-09,1730.15,660,kcal,297,60,15,8
226,2021-10-10,1333.29,660,kcal,256,60,14,8
227,2021-10-11,1052.18,660,kcal,178,60,15,8
228,2021-10-12,1095.68,660,kcal,175,60,15,8
229,2021-10-13,1082.79,660,kcal,178,60,11,8
230,2021-10-14,953.178,660,kcal,174,60,14,8
231,2021-10-15,1206.41,660,kcal,204,60,14,8
232,2021-10-16,1194.04,660,kcal,252,60,14,8
233,2021-10-17,1237.73,660,kcal,224,60,15,8
234,2021-10-18,1184.41,660,kcal,224,60,12,8
235,2021-10-19,1011.07,660,kcal,175,60,13,8
236,2021-10-20,919.714,660,kcal,162,60,12,8
237,2021-10-21,763.045,660,kcal,143,60,16,8
238,2021-10-22,1092.83,660,kcal,186,60,15,8
239,2021-10-23,1793.17,660,kcal,314,60,15,8
240,2021-10-24,1554.66,660,kcal,264,60,16,8
241,2021-10-25,1050.48,660,kcal,181,60,11,8
242,2021-10-26,1358.73,660,kcal,207,60,15,8
243,2021-10-27,1070.98,660,kcal,187,60,14,8
244,2021-10-28,925.198,660,kcal,160,60,15,8
245,2021-10-29,1381.42,660,kcal,216,60,12,8
246,2021-10-30,1345.41,660,kcal,273,60,14,8
247,2021-10-31,1190.34,660,kcal,259,60,14,8
248,2021-11-01,1249.63,660,kcal,227,60,16,8
249,2021-11-02,1044.63,660,kcal,233,60,15,8
250,2021-11-03,1061.47,660,kcal,224,60,14,8
251,2021-11-04,1134.03,660,kcal,244,60,16,8
252,2021-11-05,1231.28,660,kcal,257,60,15,8
253,2021-11-06,1212.9,660,kcal,228,60,17,8
254,2021-11-07,1239.09,660,kcal,284,60,16,8
255,2021-11-08,1147.77,660,kcal,223,60,15,8
256,2021-11-09,1085.9,660,kcal,214,60,14,8
257,2021-11-10,1264.87,660,kcal,284,60,15,8
258,2021-11-11,1331.65,660,kcal,308,60,14,8
259,2021-11-12,1558.76,660,kcal,314,60,16,8
260,2021-11-13,1375.66,660,kcal,260,60,17,8
261,2021-11-14,1538.43,660,kcal,297,60,16,8
262,2021-11-15,1119.86,660,kcal,238,60,15,8
263,2021-11-16,1047.52,660,kcal,201,60,14,8
